"DailySecond" "GPIO_C" "GPIO_PY" "Humidity" "Temperature" "Pressure"
31 12137.9 12152.8666666667 59.7521666666667 17.6 1019.41216666667
61 12137.7833333333 12152.6666666667 59.7756666666667 17.6 1019.416
91 12133.8333333333 12147.7166666667 59.7763333333333 17.6 1019.41616666667
121 12137.8333333333 12147.4833333333 59.7735 17.6 1019.41866666667
151 12141.9666666667 12147.2333333333 59.7728333333333 17.6 1019.42933333333
181 12138.2 12149.2166666667 59.7695 17.6 1019.42083333333
212 12138.65 12148.6666666667 59.7621666666667 17.6 1019.41716666667
242 12139.0333333333 12143.6 59.7596666666667 17.6 1019.41333333333
272 12139.3166666667 12146.35 59.7595 17.6 1019.40783333333
302 12139.3666666667 12155.0166666667 59.785 17.6 1019.41583333333
332 12139.2 12150.6333333333 59.8825 17.6 1019.41816666667
362 12139.3 12147.0333333333 59.9911666666667 17.6 1019.41183333333
392 12138.75 12150.3 59.9461666666667 17.6 1019.401
423 12138.65 12148.8833333333 59.837 17.6 1019.3885
454 12139.3666666667 12151.9666666667 59.8333333333333 17.6 1019.37033333333
484 12139.5166666667 12150.85 59.8548333333333 17.6 1019.35416666667
514 12138.9166666667 12147.3666666667 59.8353333333333 17.6 1019.34433333333
544 12138.35 12149.4666666667 59.8168333333333 17.6 1019.33133333333
574 12138.6833333333 12149.85 59.8193333333333 17.6 1019.32266666667
605 12139.2666666667 12141.7166666667 59.7948333333333 17.6 1019.3135
635 12139.25 12148.8666666667 59.7515 17.6 1019.3085
665 12139.1833333333 12156.2333333333 59.729 17.6 1019.31433333333
695 12139.3333333333 12149.75 59.71 17.6 1019.31933333333
725 12139.6833333333 12150.75 59.6955 17.6 1019.32866666667
755 12140.0333333333 12150.2166666667 59.7383333333333 17.6 1019.3455
785 12140.2333333333 12150.4666666667 59.7713333333333 17.6 1019.3555
816 12140.2166666667 12144.7833333333 59.8021666666667 17.6 1019.37116666667
846 12140.3 12148.15 59.8198333333333 17.6 1019.385
876 12140 12154.6333333333 59.8095 17.6 1019.37983333333
906 12140.0166666667 12152.3166666667 59.8086666666667 17.6 1019.37883333333
936 12140.9666666667 12149.1333333333 59.7685 17.6 1019.37666666667
966 12141.3666666667 12149.4666666667 59.751 17.6 1019.3615
997 12140.1166666667 12153.1333333333 59.8016666666667 17.6 1019.35316666667
1027 12139.5333333333 12152.05 59.8048333333333 17.6 1019.34583333333
1057 12136.1666666667 12151.2833333333 59.7506666666667 17.6 1019.33483333333
1087 12139.5666666667 12152.6833333333 59.718 17.6 1019.3325
1117 12143.6833333333 12153.5833333333 59.7105 17.6 1019.32833333333
1147 12139.65 12150.35 59.7168333333333 17.6 1019.32033333333
1179 12139.55 12148.5833333333 59.7305 17.6 1019.31616666667
1209 12140.4833333333 12150.8 59.743 17.6 1019.309
1239 12141.5833333333 12153.05 59.7066666666667 17.6 1019.29883333333
1269 12141.65 12151.5833333333 59.6896666666667 17.6 1019.29816666667
1299 12140.6166666667 12144.6166666667 59.7048333333333 17.6 1019.29816666667
1329 12141.5833333333 12150.95 59.695 17.6 1019.29333333333
1359 12141.9833333333 12155.8166666667 59.6963333333333 17.6 1019.28816666667
1390 12141.35 12150.0833333333 59.696 17.6 1019.284
1420 12142.15 12153.0166666667 59.6981666666667 17.6 1019.27966666667
1450 12141.95 12154.1833333333 59.728 17.6 1019.26816666667
1480 12141.4166666667 12156.3 59.7488333333333 17.6 1019.2675
1510 12142.4166666667 12157.1833333333 59.7386666666667 17.6 1019.269
1540 12142.2 12154.2166666667 59.7353333333333 17.6 1019.27083333333
1571 12141.2166666667 12153.7 59.7415 17.6 1019.26783333333
1601 12141.7833333333 12154.25 59.7806666666667 17.6 1019.241
1631 12141.7666666667 12154.4333333333 59.8196666666667 17.6 1019.2295
1661 12141.6333333333 12153.7 59.8441666666667 17.6 1019.231
1691 12141.85 12152.5166666667 59.8415 17.6 1019.22666666667
1721 12141.4333333333 12151.5333333333 59.8168333333333 17.6 1019.225
1751 12141.5166666667 12152.3666666667 59.8005 17.6 1019.22233333333
1782 12141.4166666667 12157.5333333333 59.7811666666667 17.6 1019.2245
1813 12141.3666666667 12157.05 59.8021666666667 17.6 1019.22616666667
1843 12141.6166666667 12151.7666666667 59.8351666666667 17.6 1019.22983333333
1874 12141.4833333333 12153.5 59.84 17.6 1019.23233333333
1904 12141.1333333333 12152.95 59.8606666666667 17.6 1019.233
1934 12140.8333333333 12152.85 59.8711666666667 17.6 1019.238
1965 12141.2 12155.55 59.8486666666667 17.6 1019.2355
1995 12141.3833333333 12153.2333333333 59.8515 17.6 1019.22616666667
2025 12141.2333333333 12151.5833333333 59.842 17.6 1019.21833333333
2055 12141.4166666667 12152.2166666667 59.8125 17.6 1019.20366666667
2085 12142.1666666667 12147.0166666667 59.792 17.6 1019.18866666667
2115 12142.2833333333 12155.95 59.795 17.6 1019.18333333333
2145 12142.3666666667 12145.7 59.8061666666667 17.6 1019.18483333333
2176 12142.4833333333 12144.4166666667 59.8173333333333 17.6 1019.19116666667
2206 12141.9 12159.6166666667 59.8235 17.6 1019.18983333333
2236 12141.5833333333 12152.7833333333 59.8195 17.6 1019.18316666667
2266 12141.7 12155.0666666667 59.8275 17.6 1019.18783333333
2296 12142.2333333333 12155.5833333333 59.8188333333333 17.6 1019.19983333333
2326 12142.15 12154.1666666667 59.7995 17.6 1019.21616666667
2357 12141.4166666667 12153.5333333333 59.7831666666667 17.6 1019.2325
2387 12141.6666666667 12155.6666666667 59.795 17.6 1019.25516666667
2417 12142.2333333333 12156.15 59.8496666666667 17.6 1019.28216666667
2448 12142.0833333333 12146.9 59.8756666666667 17.6 1019.29466666667
2478 12142.4333333333 12157.4 59.8915 17.6 1019.30416666667
